"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Source","source","string","This is the where the tracking number was advertised.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Property cards (1)","0.44%","",""
"Tags","tags","string","Any tags that were applied to the most recent call, form, or text.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","8/19/24","","0%","",""
"Tracking Number Company Name","tracking_number_company_name","string","This is the name of the company associated with the tracking number.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Forms (2)","0.49%","",""
"utm_campaign","utm_campaign","string","","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","9/25/24","Forms (6); Views (1)","4.73%","",""
"utm_content","utm_content","string","","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","9/25/24","Forms (5)","0.34%","",""
"utm_id","utm_id","string","","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","9/25/24","Forms (4)","0.42%","",""
"utm_medium","utm_medium","string","","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","9/25/24","Forms (6)","4.01%","",""
"utm_source","utm_source","string","","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","9/25/24","Forms (6)","4.75%","",""
"utm_term","utm_term","string","","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","9/25/24","Forms (3)","0.15%","",""
"Brisbane Address","brisbane_address","string","","brisbane_","true","","false","false","false","false","false","false","Madhur Gusain","12/15/23","Emails (42)","0%","",""
"1st Call ","n1st_call","enumeration","","brisbane_","true","Connected; No Answer; Busy; Booked","false","false","false","false","false","false","Madhur Gusain","3/4/24","Lists (1); Workflows (1); Reports (3); Views (9); Property cards (1)","50.82%","",""
"2nd Call  ","n2nd_call","enumeration","","brisbane_","true","Connected; No Answer; Busy; Booked","false","false","false","false","false","false","Madhur Gusain","3/4/24","Workflows (1); Reports (2); Views (9); Property cards (1)","20.78%","",""
"3rd Call   ","n3rd_call","enumeration","","brisbane_","true","Connected; No Answer; Busy; Booked","false","false","false","false","false","false","Madhur Gusain","3/4/24","Workflows (1); Reports (2); Views (7)","1.14%","",""
"Result 1st Call","result_1st_call","string","","brisbane_","true","","false","false","false","false","false","false","Madhur Gusain","3/4/24","Reports (1); Views (9)","28.52%","",""
"Result 2nd Call ","result_2nd_call","string","","brisbane_","true","","false","false","false","false","false","false","Madhur Gusain","3/4/24","Reports (1); Views (9)","15.34%","",""
"Result 3rd Call  ","result_3rd_call","string","","brisbane_","true","","false","false","false","false","false","false","Madhur Gusain","3/4/24","Reports (1); Views (7)","1.18%","",""
"Survey Answers","survey_answers","string","","consultation_survey","true","","false","false","false","false","false","false","Unknown user","4/7/22","Forms (1)","0.02%","",""
"Currently in workflow (discontinued)","currentlyinworkflow","enumeration","True when contact is enrolled in a workflow.","contact_activity","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","Not applicable","Views (10)","82.15%","",""
"Email Marketing Preference","email_marketing_preference","string","","contact_activity","true","","false","false","false","false","false","false","Evolved Hair","12/15/21","Views (9)","0%","",""
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","The date of the last meeting that has been scheduled by a contact through the meetings tool. If multiple meetings have been scheduled, the date of the last chronological meeting in the timeline is shown.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Campaign of last booking in meetings tool","engagements_last_meeting_booked_campaign","string","UTM parameter for marketing campaign (e.g. a specific email) responsible for recent meeting booking. Only populated when tracking parameters are included in meeting link.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Medium of last booking in meetings tool","engagements_last_meeting_booked_medium","string","UTM parameter for the channel (e.g. email)  responsible for most recent meeting booking. Only populated when tracking parameters are included in meeting link.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","UTM parameter for the site (e.g. Twitter) responsible for most recent meeting booking. Only populated when tracking parameters are included in meeting link.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"First Conversion Date","first_conversion_date","datetime","Date  this  contact  first  submitted  a  form.","contact_activity","false","","true","true","true","false","false","true","HubSpot","Not applicable","","50.76%","",""
"First Conversion","first_conversion_event_name","string","First form this contact submitted.","contact_activity","false","","true","true","true","false","false","true","HubSpot","Not applicable","Workflows (1); Views (9)","50.76%","",""
"Membership Notes","hs_content_membership_notes","string","Notes relating to the contact's content membership.","contact_activity","false","","false","true","false","false","false","true","HubSpot","Not applicable","Chatflows (1)","0.08%","",""
"Status","hs_content_membership_status","enumeration","Status of the contact's content membership.","contact_activity","false","Active (active) [READ-ONLY]; Inactive (inactive) [READ-ONLY]","false","true","false","false","false","true","HubSpot","Not applicable","","43.42%","",""
"Last Engagement Date","hs_last_sales_activity_timestamp","datetime","The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","Lists (2); Views (13)","20.97%","",""
"Recent Sales Email Clicked Date","hs_sales_email_last_clicked","datetime","The last time a tracked sales email was clicked by this user","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","1.9%","",""
"Recent Sales Email Opened Date","hs_sales_email_last_opened","datetime","The last time a tracked sales email was opened by this contact. This property does not update for emails that were sent to more than one contact.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","16.1%","",""
"Recent Sales Email Replied Date","hs_sales_email_last_replied","datetime","The most recent email from this contact that was received and logged by HubSpot. This value is automatically set by HubSpot and may not be modified.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","9.92%","",""
"Currently in Sequence","hs_sequences_is_enrolled","bool","A yes/no field that indicates whether the contact is currently in a Sequence.","contact_activity","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Message","message","string","A default property to be used for any message or comments a contact may want to leave on a form.","contact_activity","true","","false","true","false","false","false","true","HubSpot","Not applicable","Forms (5); Chatflows (3); Views (9)","7.13%","",""
"Next Appointment Time","next_appointment_time","string","","contact_activity","true","","false","false","false","false","false","false","Evolved Hair","12/15/21","Workflows (1); Views (5)","13.82%","",""
"No Show Count","no_show_count","number","","contact_activity","true","","false","false","false","false","false","false","Evolved Hair","12/15/21","","0.55%","",""
"Last Contacted","notes_last_contacted","datetime","The last time a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","Views (9)","38.61%","",""
"Last Activity Date","notes_last_updated","datetime","The last time a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","Lists (4); Workflows (3); Views (28)","54.24%","",""
"Next Activity Date","notes_next_activity_date","datetime","The date of the next upcoming activity for a contact. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Number of times contacted","num_contacted_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","56.1%","",""
"Number of Sales Activities","num_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, task, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","67.83%","",""
"Outstanding Balance Owed","outstanding_balance_owed","number","","contact_activity","true","","false","false","false","false","false","false","Evolved Hair","12/15/21","","0.55%","",""
"Outstanding Credit","outstanding_credit","number","","contact_activity","true","","false","false","false","false","false","false","Evolved Hair","12/15/21","","0.55%","",""
"SMS Marketing Preference","sms_marketing_preference","string","","contact_activity","true","","false","false","false","false","false","false","Evolved Hair","12/15/21","","0.57%","",""
"VIP status","vip_status","enumeration","","contact_activity","true","Yes (true); No (false)","false","false","false","false","false","false","Evolved Hair","12/15/21","","0%","",""
"Street Address","address","string","Contact's street address, including apartment or unit number.","contactinformation","true","","false","true","false","false","false","true","HubSpot","Not applicable","","2.7%","",""
"Annual Revenue","annualrevenue","string","Annual company revenue","contactinformation","true","","false","false","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Callfluent Calling Status","callfluent_calling_status","enumeration","","contactinformation","true","Yes; No","false","false","false","false","false","false","Madhur Gusain","10/18/24","Workflows (2); Views (11)","15.4%","",""
"City","city","string","A contact's city of residence","contactinformation","true","","false","true","false","false","false","true","HubSpot","Not applicable","Forms (1)","2.55%","",""
"Clicked Email Name ","clicked_email_name","string","","contactinformation","true","","false","false","false","false","false","false","Madhur Gusain","3/29/24","Scores (1); Workflows (1); Views (9)","20.59%","",""
"Do you have any concerns, feedback, or comments you would like to share about your consultation?","comment","string","","contactinformation","true","","false","false","false","false","false","false","Madhur Gusain","9/16/25","Forms (2)","0%","",""
"Company Name","company","string","Name of the contact's company. This can be set independently from the name property on the contact's associated company.","contactinformation","true","","false","true","false","false","false","true","HubSpot","Not applicable","Property cards (1)","0%","",""
"Concern","concern","enumeration","To store user's concern","contactinformation","true","Early Thinning; Diffuse Hair Loss; Reduced Density; Pattern Hair Loss; Increase Shedding; Not Sure Yet","false","false","false","false","false","false","Madhur Gusain","6/11/26","","0%","",""
"Contact Type","contact_type","enumeration","What is the nature of the Contact ","contactinformation","true","Marketing Lead; Vendor; Partners; General","false","false","false","false","false","false","Unknown user","12/21/21","Forms (4); Views (9)","53.25%","",""
"Country/Region","country","string","The contact's country/region of residence. This might be set via import, form, or integration.","contactinformation","true","","false","false","false","false","false","true","HubSpot","Not applicable","","1.41%","",""
