"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Total Contract Value","hs_tcv","number","The total contract value (TCV) of this quote.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Terms","hs_terms","string","The terms of the quote.","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Time zone","hs_timezone","string","Timezone for displaying dates on the quote","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Title","hs_title","string","The title of this quote","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Type","hs_type","enumeration","The type of the quote. This is in relation to the contract that the quote is a part of.","quoteinformation","false","INITIAL; CHANGE; RENEWAL","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","quoteinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Uses company address for billing address","hs_uses_company_address_for_billing_address","bool","Decide whether or not to use company billing address as the buyer billing address","quoteinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the quote","quoteinformation","false","","false","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"HubSpot team","hubspot_team_id","enumeration","The name of the team associated with the owner of the quote","quoteinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Last Contacted","notes_last_contacted","datetime","The last timestamp when a call, email or meeting was logged for this quote","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last Activity Date","notes_last_updated","datetime","The last time a note, call, email, meeting, or task was logged for a quote. This is set automatically by HubSpot based on user actions in the quote record.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Number of times contacted","num_contacted_notes","number","The number of times a call, email or meeting was logged for this quote","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Number of Sales Activities","num_notes","number","Number of sales activities for this quote","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Automated reminders enabled","hs_automated_reminders_enabled","bool","Whether the quote has automated reminders set up.","quoteremindersinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last automated reminder sent date","hs_last_reminder_sent_date","datetime","Date on which the last automated reminder was sent.","quoteremindersinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Upcoming reminder date","hs_upcoming_reminder_date","datetime","Upcoming reminder date","quoteremindersinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender company street address","hs_sender_company_address","string","The street address of the company sending this quote","sendercompanyinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender company street address 2","hs_sender_company_address2","string","The second line of the street address of the company sending this quote","sendercompanyinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender company city","hs_sender_company_city","string","The city in which the company sending this quote is located","sendercompanyinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender company country","hs_sender_company_country","string","The country in which the company sending this quote is located","sendercompanyinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender company domain","hs_sender_company_domain","string","The domain of the company sending this quote","sendercompanyinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender company image URL","hs_sender_company_image_url","string","URL to image of the sender company image to be set on the quote","sendercompanyinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender company name","hs_sender_company_name","string","The name of the company sending this quote","sendercompanyinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender company state/region","hs_sender_company_state","string","The state/region in which the company sending this quote is located","sendercompanyinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender company postal code","hs_sender_company_zip","string","The zip code in which the company sending this quote is located","sendercompanyinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender email","hs_sender_email","string","Email address of the sender of this quote","senderinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender first name","hs_sender_firstname","string","First name of the sender of this quote","senderinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender image URL","hs_sender_image_url","string","URL to image of the sender avatar image to be set on the quote","senderinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender job title","hs_sender_jobtitle","string","Job title of the sender of this quote","senderinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender last name","hs_sender_lastname","string","Last name of the sender of this quote","senderinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Sender phone number","hs_sender_phone","string","Phone number of the sender of this quote","senderinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","50%","",""
