"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Total contract value","hs_tcv","number","The total contract value (TCV) of this deal.","deal_revenue","false","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Close Date","closedate","datetime","Date the deal was closed. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","Conditional logic: As dependent property (2)","65.95%","",""
"Create Date","createdate","datetime","Date the deal was created. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Days to close","days_to_close","number","The number of days the deal took to close","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Deal Name","dealname","string","The name given to this deal.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","Workflows (2)","100%","",""
"Deal Type","dealtype","enumeration","The type of deal. By default, categorize your deal as either a New Business or Existing Business.","dealinformation","true","New Business (newbusiness); Existing Business (existingbusiness)","false","true","false","false","false","true","HubSpot","Not applicable","","15.37%","",""
"Deal Description","description","string","Description of the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Actual duration","hs_actual_duration","number","Calculates the time between the create date and close date. If the create date occurs after the close date, the value returned is 0.","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","65.95%","",""
"Deal Collaborator","hs_all_collaborator_owner_ids","enumeration","Owner ids of the users involved in closing the deal","dealinformation","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Closed won count","hs_closed_won_count","number","This property is 1 if the deal is closed won, otherwise 0.","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","19.52%","",""
"Deal Score","hs_deal_score","number","The predictive deal score calculated by Hubspot AI to score the deal health","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","31.08%","",""
"Deal probability","hs_deal_stage_probability","number","The probability a deal will close. This defaults to the deal stage probability setting.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Forecast amount","hs_forecast_amount","number","The custom forecasted deal value calculated by multiplying the forecast probability and deal amount in your company’s currency.","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","14.76%","",""
