currentPath,proposedDomain,proposedPath,runtimeConsumerCount,testConsumerCount,tablesReferenced,serverOnly,mutationBearing,duplicateOf,deletionReason,migrationRisk,proposeReason
src/lib/team/identity/workforceIdentitySources.ts,identity,src/lib/team/identity/workforceIdentitySources.ts,4,1,,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentitySummary.test.ts,identity,src/lib/team/identity/workforceIdentitySummary.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentitySummary.ts,identity,src/lib/team/identity/workforceIdentitySummary.ts,3,1,,false,false,,,medium,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentityTenantOverview.server.ts,identity,src/lib/team/identity/workforceIdentityTenantOverview.server.ts,0,0,,true,false,,,medium,canonical team/identity module (B1)
src/lib/team/identity/workforceReadinessBands.test.ts,identity,src/lib/team/identity/workforceReadinessBands.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/workforceReadinessBands.ts,identity,src/lib/team/identity/workforceReadinessBands.ts,3,1,,false,false,,,medium,canonical team/identity module (B1)
src/lib/team/identity/workforceReadinessClinicalEligibility.ts,identity,src/lib/team/identity/workforceReadinessClinicalEligibility.ts,3,1,,false,false,,,medium,canonical team/identity module (B1)
src/lib/team/identity/workforceReadinessEngine.test.ts,identity,src/lib/team/identity/workforceReadinessEngine.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/workforceReadinessEngine.ts,identity,src/lib/team/identity/workforceReadinessEngine.ts,8,4,,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/workforceReadinessTenantOverview.server.ts,identity,src/lib/team/identity/workforceReadinessTenantOverview.server.ts,0,0,,true,false,,,medium,canonical team/identity module (B1)
src/lib/team/onboarding/index.ts,onboarding,src/lib/team/onboarding/index.ts,0,0,,false,false,,,low,canonical team/onboarding module
